"","finished","run","MW","no_proj"
"405",2031-09-01,5,12.2,2
"406",2031-10-01,1,9.7,2
"407",2031-10-01,2,0,0
"408",2031-10-01,3,21,2
"409",2031-10-01,4,0.66,1
"410",2031-10-01,5,0,1
"411",2031-11-01,1,0,0
"412",2031-11-01,2,16.09,4
"413",2031-11-01,3,35.9,2
"414",2031-11-01,4,0,0
"415",2031-11-01,5,53.15,4
"416",2031-12-01,1,7,1
"417",2031-12-01,2,50,1
"418",2031-12-01,3,4.8,1
"419",2031-12-01,4,27,4
"420",2031-12-01,5,0,1
"421",2032-01-01,1,49.8,3
"422",2032-01-01,2,0,0
"423",2032-01-01,3,0,0
"424",2032-01-01,4,2,1
"425",2032-01-01,5,11.7,1
